"sample_size,""rep"",""model"",""bias_intercept"",""bias_biomarkers"",""correctly_removed"",""rmse"""
"5000,4,""AdaptLasso_1se"",2.47279449661548,1.22694832090532,1,1.01548978556929"
"5000,4,""Elastic_Net_min"",2.50966005534259,0.860763496332071,0.6,1.00622346620383"
"5000,4,""Elastic_Net_1se"",2.5565545318979,5.07597033947714,0.4,1.01514430195249"
"5000,4,""WQS"",-130.334856214435,0.968548715277577,1,1.02015262966149"
"100,5,""Lasso_min"",2.37702222272277,9.28715331555772,0.8,0.835547601324586"
"100,5,""Lasso_1se"",3.31769575476422,17.6298020891772,0.8,0.886255202856193"
"100,5,""AdaptLasso_min"",2.34346629914916,6.50543346043715,0.8,0.834003960563997"
"100,5,""AdaptLasso_1se"",4.36828003701762,10.4584809813886,0.8,0.86514816775194"
"100,5,""Elastic_Net_min"",1.63579497789755,7.60343967727059,0.6,0.820220015167791"
"100,5,""Elastic_Net_1se"",2.9195418481672,19.0394645958463,0.8,0.894269989949819"
"100,5,""WQS"",-78.018328318605,4.1958351696076,1,0.849297929774988"
"500,5,""Lasso_min"",-2.13523716604447,4.26572290508748,0.8,0.977098218165141"
"500,5,""Lasso_1se"",-2.48160490026045,11.5473383576642,0.4,1.00953478054143"
"500,5,""AdaptLasso_min"",-2.26373303045039,3.50805000140584,0.6,0.971668135891286"
"500,5,""AdaptLasso_1se"",-2.42694562156784,5.60685689322568,0.8,1.0120272419292"
"500,5,""Elastic_Net_min"",-2.18662965224356,3.7615130791185,0,0.969872681575356"
"500,5,""Elastic_Net_1se"",-2.34840913045178,10.9421630073949,0.4,1.00258132979837"
"500,5,""WQS"",-123.106125242738,4.03992153545832,1,0.992809149670697"
"1000,5,""Lasso_min"",1.04142086491535,1.58236373547874,0.6,1.00414949404981"
"1000,5,""Lasso_1se"",2.4273704650248,7.44678169400009,0.6,1.0239323212534"
"1000,5,""AdaptLasso_min"",0.945774158517576,1.35537212186854,0.8,1.00378664330983"
"1000,5,""AdaptLasso_1se"",2.49296100345225,2.14214175877796,1,1.0173539035852"
"1000,5,""Elastic_Net_min"",1.01864975528672,1.58377711235677,0.6,1.00413602234149"
"1000,5,""Elastic_Net_1se"",2.26592973490791,7.58811284976715,0.6,1.02269173703692"
"1000,5,""WQS"",-122.194106630616,1.80230502167522,0.8,1.0202775020251"
